date,day,risk_index,controller,plan_purchase_kwh,emergency_kwh,charge_kwh,discharge_kwh,waste_kwh,soc_start_kwh,soc_end_kwh,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan
2025-05-17,136,0,mpc,29460.290328969284,11.232704977775875,18126.882060718017,14956.465231288104,15852.307121183814,6484.6792218287155,6180.578375043708,12187.45204498707,57.146386574434764,12244.598431561506
2025-05-18,137,0,mpc,64169.17131510969,2.219987694820702,18967.72360717112,14491.843282619051,6019.342878252446,6180.578375043708,7149.481529698774,39013.577243565,14.595309099598705,39028.1725526646
2025-05-19,138,0,mpc,62007.725009610964,74.50042105515968,17362.26183844168,14650.550734672866,11855.297776897307,7149.481529698774,6497.127479104215,36673.243045253,517.7787339167651,37191.021779169765
2025-05-20,139,0,mpc,59161.06075387078,73.73212022786518,19005.697009149786,15631.506567614233,1333.2076158964162,6497.127479104215,6233.914156656542,35365.58949834253,451.3807955653251,35816.970293907856
2025-05-21,140,0,mpc,61887.7767296978,0.0,17605.72418114736,14213.4214492515,7132.858714468602,6233.914156656542,6286.375420520836,37377.12940109857,0.0,37377.12940109857
2025-05-22,141,0,mpc,62004.68283143021,0.0,18104.953207586754,13910.533959915443,6993.632767092241,6286.375420520836,7124.684462998413,37404.87385475178,0.0,37404.87385475178
2025-05-23,142,0,mpc,28153.590353778534,33.5868962778192,19139.986610214746,15545.483737103044,18171.725493611317,7124.684462998413,7077.912704299414,11301.892629751124,60.30152932201571,11362.19415907314
2025-05-24,143,0,mpc,28558.408175190692,0.0,17581.471630049855,14440.545328444583,21662.980490252085,7077.912704299414,6856.186806405856,11927.265409177244,0.0,11927.265409177244
2025-05-25,144,0,mpc,59226.53396564699,12.048766666666552,18564.733737485752,15308.060194235823,7436.899005730387,6856.186806405856,6555.491398769902,35838.372524961946,78.16034936666593,35916.53287432861
2025-05-26,145,0,mpc,57774.11353393421,1003.5559109249783,18396.41664061566,15088.840172513626,890.2600267571544,6555.491398769902,6346.888405864414,34993.16045664214,6417.516434104762,41410.6768907469
2025-05-27,146,0,mpc,62188.185488216266,30.771688445182463,19417.12918295578,15953.041653240616,9364.50234694628,6346.888405864414,6096.7028335906,36682.87289253086,205.35486283892516,36888.227755369786
2025-05-28,147,0,mpc,60954.96787691103,0.0,20440.0351408413,15911.146875290331,4152.2555113600665,6096.7028335906,6813.682376691853,36735.36106506472,0.0,36735.36106506472
2025-05-29,148,0,mpc,60418.2127734582,17.817433333333383,18927.747203770574,15632.383444359903,3030.542947380863,6813.682376691853,6479.339921907706,36271.57777162512,119.80442173333367,36391.382193358455
2025-05-30,149,0,mpc,29335.125628958154,0.0,17825.712285375113,13893.186628586087,18806.36670550246,6479.339921907706,7085.60694698299,12282.266354386982,0.0,12282.266354386982
2025-05-31,150,0,mpc,29165.06021969825,0.0,20563.817582172647,17372.30932773585,17584.370415261452,7085.60694698299,6290.476851231876,11158.947715064438,0.0,11158.947715064438
2025-06-01,151,0,mpc,63808.10625227756,9513.29385218251,13918.815738977031,11898.216001122975,75.97406660600097,6290.476851231876,5597.171015063455,42407.81271403258,56710.045976909154,99117.85869094174
